psraid,sample,int_date,lang,version,form,llitext1,q1,eminuse,intmob,intfreq,device1a,smart1,snsint2,acct1a,acct1b,acct1c,acct1d,acct2,acct3a,acct3b,acct3c,acct3d,acct3e,acct3f,acct3g,secur1,secur2a,secur2b,secur2c,secur2d,secur2e,secur2f,secur2g,habits1a,habits1b,habits1c,habits1d,habits1e,habits1f,habits2,habits3,habits4a,habits4b,habits4c,habits5,habits6,habits7,habits8,habits9,habits10,habits11,habits12,wifi1,wifi2a,wifi2b,wifi2c,wifi2d,policy1,policy2a,policy2b,policy3,policy4,policy5,policy6a,policy6b,policy6c,policy6d,policy6e,sex,age,educ2,hisp,race3m1,race3m2,race3m3,race3m4,birth_hisp,marital,par,emplnw3,party,partyln,ideo,inc,hh1,hh3,ql1a,qc1,habits1fos,habits9os,raceos,usr,cregion,state,density,race3m1orig,race3m2orig,race3m3orig,race3m4orig,origraceos,i_usernw2,SmartPhone,racecmb,racethn,racethn2,racethn3,hhcell,genage2016,child,partysum,partyideo,habits1cnt,iphoneuse,hphoneuse,recage,receduc,adults,ll,cp,weight,standwt
100870,1,42316,1,1,1,1,2,1,1,2,1,2,1,2,2,2,2,1,4,4,4,4,4,4,4,2,1,1,2,2,2,1,2,2,1,2,2,2,2, ,2,2,2,2,2,1,2, , , , , ,2, , , , ,2,1,1,4,4,4,3,1,1,3,3,1,57,3,2,1, , , , ,1,2,1,1, ,2,8,2,2, , , , , ,R,3,13,1,1, , , , ,1,2,1,1,1,1,1,3,0,1,1,1,2,2,5,1,2,1,1,2.52941176470588,.883245667119086
100873,1,42316,1,1,2,1,2,1,2,3,1,2,1,2,2,2,2,8,3,2,3,3,2,3,3,2,2,1,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2, , , , , ,2, , , , ,2,2,2,2,2,2,3,2,2,3,3,2,77,4,2,1, , , , ,5,2,3,3,8,2,99,1, , , , , , ,R,3,37,1,1, , , , ,1,2,1,1,1,1,1,5,0,9,3,2,2,2,6,2,1,1,1,1.08823529411765,.380001042830305
100883,1,50216,1,1,2,1,2,2,2, ,1,1, , , , , , ,4,1, , ,4,5,5,3,2,2,2, , ,2,2, , , , , , , , , , , , , , ,2, ,4,3,2, , , , , ,1,1,1,4,3,2,3,2,1,3,2,1,54,2,2,1, , , , ,3,2,3,4,8,8,2,1, , , , , , ,U,1,42,5,1, , , , ,0,1,1,1,1,1,1,3,0,9,9, ,2,2,4,1,1,1,1,3.47058823529412,1.21189521767503
100888,1,42316,1,1,1,2,2,1,2,5,2, ,2,2,2,3,2,2, , ,5, ,1,5,2,3,2,2,2,2, ,2,2,1,2,2,2,2,2, ,1,1,2,2,2,2, , , , , , ,2, , , , ,2,3,4,2,2,4,3,3,3,3,3,2,70,1,2,1, , , , ,1,2,3,2, ,3,98,2,2,1, , , , ,S,3,37,2,1, , , , ,1,3,1,1,1,1,1,4,0,2,4,1,1,2,6,1,2,1,0,5.91176470588235,2.06432998942949
100891,1,42416,1,1,1,2,2,1,2,3,1,8,2,2,2,2,2,1,1,1,2, ,3,2,2,2,2,1,2,2, ,2,2,1,1,2,1,2,2,4,2,2,2,2,1,2, , , , , , ,2, , , , ,1,2,2,2,2,3,3,1,2,2,3,2,56,5,2,1, , , , ,5,2,3,2, ,2,3,1, , , , , , ,R,1,36,1,1, , , , ,1,2,1,1,1,1,1,3,0,2,4,3,2,2,5,2,1,1,1,1.35294117647059,.472433728924162
100892,1,42416,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,4,4,4,4,4,4,2,1,1,1,2,2,1,2,1,2,1,2,2,2,3,2,2,1,2,2,1,1,1,4,1,1,1,1,2,2,1,2,1,2,1,2,2,3,3,3,3,3,3,1,45,8,9,9, , , , ,9,9,1,9,9,9,9,99,2, , , , , ,U,3,48,4,9, , , , ,1,1,9,9,9,9,1,2,99,9,9,2,2,2,4,3,2,1,1,1.64705882352941,.575136713472894
100894,1,42716,1,1,2,2,2,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,5,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2, ,2,2,2,2,1,2,1,1,4,1,2,2,1,2,2,1,2,1,3,3,2,2,2,1,3,1,3,1,2,23,3,2,1, , , , ,6,2,3,2, ,3,5,4,4, , , , , ,S,1,25,3,1, , , , ,1,1,1,1,1,1,1,1,0,2,4,1,2,2,1,1,3,1,1,5.91176470588235,2.06432998942949
100899,1,42416,1,1,2,1,2,2,2, ,1,2, , , , , , ,2,2, , ,2,2,3,3,2,2,2, , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,1,3,3,3,3,3,3,3,3,3,3,2,64,3,2,1, , , , ,5,1,1,1, ,4,3,3,1, , , , , ,R,3,54,1,1, , , , ,0,2,1,1,1,1,1,4,2,1,2, ,2,2,5,1,1,1,1,1.70588235294118,.59567731038264
100902,1,42416,1,1,2,2,2,1,2,4,1,1,2,1,2,2,2,1,2,2,2, ,4,2,3,2,2,2,1,2, ,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2, ,2, ,3,2,1,2, , , , ,1,2,2,3,3,3,2,2,1,2,2,2,63,6,2,1, , , , ,1,2,1,1, ,3,98,2,2, , , , , ,U,2,39,5,1, , , , ,1,1,1,1,1,1,1,4,0,1,2,2,2,2,5,3,2,1,1,1.44117647058824,.503244624288782
100912,1,42416,1,1,1,1,2,1,2,4,1,2,1,2,2,2,2,1,3,3,3,2,1,1,3,3,2,2,1,2,2,2,1,1,1,2,2,1,2,2,2,1,1,2,2,1,2, , , , , ,2, , , , ,2,2,2,3,2,2,3,3,1,3,3,2,61,3,2,1, , , , ,1,2,1,2, ,4,5,2,2, , , , , ,S,1,36,3,1, , , , ,1,2,1,1,1,1,1,3,0,2,5,3,2,2,5,1,2,1,1,3.38235294117647,1.18108432231041
