psraid,sample,int_date,lang,version,form,llitext1,q1,eminuse,intmob,intfreq,device1a,smart1,snsint2,acct1a,acct1b,acct1c,acct1d,acct2,acct3a,acct3b,acct3c,acct3d,acct3e,acct3f,acct3g,secur1,secur2a,secur2b,secur2c,secur2d,secur2e,secur2f,secur2g,habits1a,habits1b,habits1c,habits1d,habits1e,habits1f,habits2,habits3,habits4a,habits4b,habits4c,habits5,habits6,habits7,habits8,habits9,habits10,habits11,habits12,wifi1,wifi2a,wifi2b,wifi2c,wifi2d,policy1,policy2a,policy2b,policy3,policy4,policy5,policy6a,policy6b,policy6c,policy6d,policy6e,sex,age,educ2,hisp,race3m1,race3m2,race3m3,race3m4,birth_hisp,marital,par,emplnw3,party,partyln,ideo,inc,hh1,hh3,ql1a,qc1,habits1fos,habits9os,raceos,usr,cregion,state,density,race3m1orig,race3m2orig,race3m3orig,race3m4orig,origraceos,i_usernw2,SmartPhone,racecmb,racethn,racethn2,racethn3,hhcell,genage2016,child,partysum,partyideo,habits1cnt,iphoneuse,hphoneuse,recage,receduc,adults,ll,cp,weight,standwt
100001,1,33016,1,1,1,2,2,1,1,2,1,1,2,1,1,2,2,1,2,2,3, ,2,2,2,2,2,1,1,1, ,2,2,1,1,2,2,2,2,1,1,1,2,1,1,1, ,1,1,3,2,2,1,2,2, ,1,2,1,1,2,2,3,2,2,1,3,1,1,68,8,2,1, , , , ,1,2,1,3,2,3,99,2,2, , , , , ,S,3,51,3,1, , , , ,1,1,1,1,1,1,1,4,0,2,3,2,2,2,6,3,2,1,1,1.26470588235294,.441622833559543
100010,1,42016,1,1,1,2,2,1,1,1,1,1,1,8,9,9,9,1,3,3,3,3,3,3,3,3,1,2,2,2,2,2,2,2,1,2,2,2,2, ,9,2,1,9,2,9,1,1,9,3,2,1,1,9,9,1,1,1,2,3,4,4,4,3,3,2,2,2,1,48,4,2,1, , , , ,1,1,1,5,8,1,7,5,3, , , , , ,S,2,39,1,1, , , , ,1,1,1,1,1,1,1,2,2,9,9,1,2,2,4,2,3,1,1,3.20588235294118,1.11946253158117
100011,1,33016,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2, ,2,2,1,1,2,2,2,2, ,2,2,1,2, , , , ,1,1,2,1,1,2,3,1,1,1,1,2,72,6,2,2, , , , ,1,2,2,2, ,2,6,2,2, , , , , ,U,3,24,4,2, , , , ,1,1,2,2,2,2,1,5,0,2,4,1,2,2,6,3,2,1,1,1.35294117647059,.472433728924162
100013,1,33016,1,1,2,2,1,1,1,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,3,2,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,2,1,1,2,1,1,2,2,2,2, , , , ,2,3,3,1,1,1,1,3,1,3,2,2,72,6,2,1, , , , ,1,2,3,1, ,2,8,2,2, , , , , ,S,1,42,4,1, , , , ,1,1,1,1,1,1,1,5,0,1,1,2,2,2,6,3,2,1,1,1.41176470588235,.492974325833909
100015,1,33016,1,1,2,1,1,1,1,2,1,2,2,1,1,1,2,1,2,2,3, ,2,2,2,2,2,2,1,1, ,2,2,1,2,2,2,2,2, ,2,1,2,2,2,1, , , , , , ,2, , , , ,1,3,2,2,2,2,2,3,1,3,1,1,37,6,2,1, , , , ,1,1,1,3,1,3,8,6,2, , , , , ,S,2,26,2,1, , , , ,1,2,1,1,1,1,1,2,4,1,3,1,2,2,3,3,2,1,1,1.85294117647059,.647028802657005
100019,1,41116,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,1,2,2,1,1,1,1,1,3,2,1,1,2,2,1,1,1,2,2,2,1,3,2,3,1,3,1,1,48,6,2,1, , , , ,1,1,1,1, ,3,7,4,2, , , , , ,S,3,21,2,1, , , , ,1,1,1,1,1,1,1,2,2,1,2,2,2,2,4,3,2,1,1,1.38235294117647,.482704027379036
100026,1,33016,1,1,1,2,2,2,2, ,1,8, , , , , , ,4,4, , ,4,3,4,2,2,2,1, , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,2,2,3,4,4,4,3,3,2,3,3,1,86,3,2,1, , , , ,1,2,3,3,1,1,4,2,2, , , , , ,S,2,18,3,1, , , , ,0,2,1,1,1,1,1,6,0,1,3, ,2,2,6,1,2,1,1,3.79411764705882,1.32486850067863
100029,1,40216,1,1,1,2,2,2,2, ,1,2, , , , , , ,5,5, , ,2,2,2,1,2,2,2, , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,3,2,2,2,3,3,3,2,3,2,86,2,2,1, , , , ,1,2,3,3,2,2,3,2,2, , , , , ,R,2,27,1,1, , , , ,0,2,1,1,1,1,1,6,0,2,3, ,2,2,6,1,2,1,1,2.5,.872975368664213
100031,1,41116,1,1,2,1,2,1,2,2,1,8,2,2,2,2,2,1,3,3,3, ,2,2,3,3,2,2,2,1, ,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2, , , , , , ,2, , , , ,2,3,3,2,2,2,2,2,2,2,2,2,65,8,2,2, , , , ,3,2,3,2, ,2,7,1, , , , , , ,R,3,45,1,2, , , , ,1,2,2,2,2,2,1,4,0,2,4,2,2,2,6,3,1,1,1,1,.349190147465685
100035,1,33016,1,1,1,1,1,1,1,3,1,1,2,1,1,1,1,2,2,1,3, ,2,3,3,1,1,1,2,2, ,2,2,1,2,2,2,2,1,1,2,2,1,1,1,1, ,1,4,3,2,1,2, , , , ,1,1,1,3,4,2,3,3,1,2,3,2,74,4,2,1, , , , ,1,2,3,2, ,3,8,2,2, , ,GIVING IT TO SOMEONE I TRUST, , ,S,3,12,2,1, , , , ,1,1,1,1,1,1,1,5,0,2,4,2,2,2,6,2,2,1,1,1.61764705882353,.56486641501802
100036,1,33016,1,1,1,2,2,1,2,3,1,2,2,2,2,2,2,1,4,4,4, ,4,3,4,2,2,2,1,2, ,2,1,1,1,2,2,2,2,1,2,2,1,2,2,2, , , , , , ,2, , , , ,2,1,1,3,3,4,3,1,1,1,1,1,86,8,2,1, , , , ,5,2,3,4,9,3,98,1, , , , , , ,S,3,12,3,1, , , , ,1,2,1,1,1,1,1,6,0,9,9,2,2,2,6,3,1,1,1,1,.349190147465685
100042,1,33016,1,1,2,2,1,2,2, ,2, , , , , , , , , , , ,1,1,1,3,2,1,2, , ,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2,3,3,2,1,2,3,3,3,2,3,2,88,8,2,1, , , , ,5,2,8,2, ,2,4,1, , , , , , ,U,3,51,4,1, , , , ,0,3,1,1,1,1,0,6,0,2,4, ,1,1,6,3,1,1,0,2.23529411764706,.780542682570356
100048,1,33016,1,1,1,1,2,2,2, ,2, , , , , , , , , , , ,3,5,4,3,2,2,9, , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,1,8,1,2,2,3,2,3,3,3,3,1,87,3,2,2, , , , ,5,2,9,2, ,4,3,2,2,1, , , , ,U,1,36,5,2, , , , ,0,3,2,2,2,2,1,6,0,2,5, ,1,2,6,1,2,1,0,5.91176470588235,2.06432998942949
100053,1,33016,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,2,1,2, ,3,3,3,3,2,1,1,1, ,1,2,1,1,2,1,2,2,4,2,2,1,2,1,1, ,1,4,3,2,1,1,2,2, ,2,2,1,1,4,2,3,1,1,1,3,2,1,66,8,2,1, , , , ,5,2,1,2, ,3,9,1, , , , , , ,S,3,51,5,1, , , , ,1,1,1,1,1,1,1,4,0,2,4,3,2,2,6,3,1,1,1,1.08823529411765,.380001042830305
100054,1,40216,2,1,2,2,2,2,2, ,2, , , , , , , , , , , ,5,1,3,1,2,2,2, , ,1,1, , , , , , , , , , , , , , , , , , , , , , , , ,9,8,3,1,2,4,3,3,3,3,3,2,75,3,1,7, , , ,3,1,2,3,2, ,8,2,2,2,2, , , , ,R,3,48,1,7, , , , ,0,3,5,3,4,3,0,5,0,2,9, ,1,1,6,1,2,1,0,5.91176470588235,2.06432998942949
100056,1,50216,1,1,1,1,1,2,2, ,1,2, , , , , , ,1,1, , ,1,1,1,2,2,1,2, , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,2,3,3,3,2,3,3,2,62,1,1,2, , , ,1,6,2,3,1, ,5,1,1, , , , , , ,R,3,45,1,2, , , , ,0,2,2,3,3,3,1,4,0,1,2, ,2,2,5,1,1,1,1,1.58823529411765,.554596116563147
100058,1,40916,1,1,2,2,1,2,2, ,1,1, , , , , , ,2,1, , ,2,2,2,1,2,2,2, , ,2,2, , , , , , , , , , , , , , ,2, ,4,2,2, , , , , ,1,3,3,2,2,2,3,3,2,3,3,2,55,4,2,2, , , , ,1,2,8,2, ,2,3,2,2, , , , , ,U,3,47,4,2, , , , ,0,1,2,2,2,2,1,3,0,2,4, ,2,2,5,2,2,1,1,2.47058823529412,.86270507020934
100061,1,40916,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2, ,1,2,2,2,2,1,1,1,4,3,1,1,1,2,2,1,1,1,2,4,2,2,2,1,3,1,3,3,2,25,5,1,2, , , ,3,6,2,2,3,2,3,6,7,4, , , , , ,S,3,13,4,2,7, , , ,1,1,2,3,4,3,1,1,3,2,3,1,2,2,2,2,3,1,1,5.38235294117647,1.87946461724178
100062,1,40216,1,1,2,2,1,1,1,5,1,2,2,2,2,2,2,1,2,1,2, ,2,1,3,2,2,2,2,2, ,2,2,1,1,2,2,2,2,1,1,1,1,1,2,2, , , , , , ,2, , , , ,3,2,2,3,2,2,2,2,1,3,2,2,70,3,2,1, , , , ,5,2,3,1, ,2,3,1, , , , , , ,S,3,37,2,1, , , , ,1,2,1,1,1,1,1,4,0,1,1,2,2,2,6,1,1,1,1,1.82352941176471,.636758504202132
100064,1,33016,1,1,2,1,1,1,1,2,1,1,2,1,1,1,2,2,2,2,2, ,2,1,1,2,2,1,2,2, ,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2, ,1,1,3,1,2,2, , , , ,1,2,3,2,3,2,2,1,2,2,1,1,70,8,2,1, , , , ,1,2,2,2, ,5,8,2,2, , , , , ,S,1,42,4,1, , , , ,1,1,1,1,1,1,1,4,0,2,5,2,2,2,6,3,2,1,1,1.64705882352941,.575136713472894
100069,1,33016,1,1,2,1,1,1,2,1,1,2,1,2,1,2,2,1,3,4,4,2,4,4,4,2,2,1,2,2,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,1,2, , , , , ,2, , , , ,1,1,1,2,2,2,2,3,1,3,3,2,62,8,2,1, , , , ,3,2,3,3,8,3,4,1, , , , , , ,S,1,42,4,1, , , , ,1,2,1,1,1,1,1,4,0,9,3,2,2,2,5,3,1,1,1,1.05882352941176,.369730744375431
100071,1,40216,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2, ,2,2,2,2,2,1,2,1,4,2,2,2,2, , , , ,2,3,2,1,1,1,1,2,1,2,2,2,70,4,2,1, , , , ,1,2,2,2, ,3,7,2,2, , , , , ,R,2,27,1,1, , , , ,1,1,1,1,1,1,1,4,0,2,4,1,2,2,6,2,2,1,1,1.61764705882353,.56486641501802
100074,1,33016,1,1,2,2,2,1,2,4,1,2,2,2,2,2,2,1,3,3,3, ,4,1,2,2,2,2,1,2, ,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2, , , , , , ,2, , , , ,1,1,1,4,4,4,3,3,1,3,2,2,78,4,2,1, , , , ,5,2,3,8,1,2,5,1, , , , , , ,R,1,36,1,1, , , , ,1,2,1,1,1,1,1,5,0,1,9,2,2,2,6,2,1,1,1,1.32352941176471,.462163430469289
100076,1,33016,1,1,2,1,2,1,1,5,1,2,2,1,1,1,1,1,3,2,2, ,2,1,2,3,2,2,2,2, ,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2, , , , , , ,2, , , , ,2,2,2,2,2,2,3,3,2,3,3,1,78,8,2,1, , , , ,1,2,8,2, ,4,8,2,2, , , , , ,S,3,45,2,1, , , , ,1,2,1,1,1,1,1,5,0,2,5,2,2,2,6,3,2,1,1,1.14705882352941,.400541639740051
100080,1,40216,1,1,1,1,1,2,2, ,1,8, , , , , , ,1,1, , ,1,3,2,2,2,2,2, , ,2,1, , , , , , , , , , , , , , , , , , , , , , , , ,2,3,4,2,2,4,2,2,1,3,2,2,68,1,2,2, , , , ,5,2,3,3,8,1,98,3,1, , , , , ,R,3,45,1,2, , , , ,0,2,2,2,2,2,1,4,2,9,3, ,2,2,6,1,1,1,1,2.08823529411765,.72919119029599
100081,1,33016,1,1,1,1,1,2,1,5,2, ,2,2,2,2,2,2, , ,5, ,1,2,2,3,2,2,2,2, ,2,2,2,2,2,2,2,2, ,9,2,2,2,2,2, , , , , , ,2, , , , ,2,2,2,2,2,2,3,3,2,3,3,2,75,6,2,2, , , , ,1,2,3,2, ,3,5,2,2,1, , , , ,R,3,48,1,2, , , , ,1,3,2,2,2,2,1,5,0,2,4,0,1,2,6,3,2,1,0,2.55882352941176,.89351596557396
100082,1,33016,1,1,1,2,1,1,2,2,1,2,2,1,2,2,1,1,4,4,4, ,4,3,4,2,2,1,1,2, ,1,2,1,2,2,2,2,2, ,2,1,2,2,2,2, , , , , , ,2, , , , ,1,2,3,2,3,2,2,1,1,3,1,1,44,6,2,1, , , , ,1,1,1,3,2,3,8,3,2, , , , , ,U,2,55,3,1, , , , ,1,2,1,1,1,1,1,2,1,2,3,1,2,2,3,3,2,1,1,2.02941176470588,.708650593386244
100089,1,41116,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,4,2,3,1,2,1,2,2,2,2,2,1,2,1,1,2,9,4,2,1,2,2,2,1,2,1,2,2,2,2,1,2,2,2,1,1,2,2,3,4,2,3,2,1,3,1,2,61,8,2,1, , , , ,1,2,1,3,8,3,99,2,2, , , , , ,U,2,17,5,1, , , , ,1,1,1,1,1,1,1,3,0,9,3,3,2,2,5,3,2,1,1,1.44117647058824,.503244624288782
100090,1,33016,1,1,1,1,1,1,1,2,1,1,1,1,1,8,1,2,2,2,2,3,2,3,3,3,2,2,1,2,2,2,2,1,1,1,2,2,2,3,9,1,1,1,1,1,1,1,9,3,2,2,1,2,2,8,1,2,2,2,2,2,3,8,3,1,3,2,2,39,8,2,1, , , , ,1,1,2,2, ,4,9,4,2, , , , , ,S,1,42,2,1, , , , ,1,1,1,1,1,1,1,2,2,2,5,3,2,2,3,3,2,1,1,2.58823529411765,.903786264028833
100091,1,50216,1,1,1,2,2,2,2, ,1,2, , , , , , ,4,4, , ,4,2,2,2,2,2,2, , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,2,2,1,2,3,8,3,3,2,3,3,1,54,3,2,1, , , , ,1,2,3,2, ,3,7,3,3, , , , , ,S,1,42,2,1, , , , ,0,2,1,1,1,1,1,3,0,2,4, ,2,2,4,1,3,1,1,4.14705882352941,1.44811208213711
100092,1,33016,1,1,1,2,3,1,1,4,1,1,1,2,2,2,2,1,4,4,4,4,4,5,1,2,2,2,2,2,2,2,2,1,2,2,2,1,2,1,2,1,1,2,1,2,1,1,5,1,3,1,2, , , , ,2,1,8,3,4,2,1,2,2,3,3,2,40,3,2,1, , , , ,1,1,3,4,9,8,5,4,2, , , ,TAP LOCK, ,S,4,49,1,1, , , , ,1,1,1,1,1,1,1,2,2,9,9,2,2,2,3,1,2,1,1,3.73529411764706,1.30432790376888
100094,1,33016,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,2,2,1,3,1,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,2,2,1,1,2,2,1,1,2,2, ,4,3,2,1,2,2,2,1,2,2,3,2,2,2,2,3,1,3,2,1,73,8,2,1, , , , ,1,2,2,2, ,4,9,2,2, , , , , ,U,2,17,5,1, , , , ,1,1,1,1,1,1,1,5,0,2,5,3,2,2,6,3,2,1,1,1.61764705882353,.56486641501802
100096,1,33016,1,1,1,1,2,2,2, ,2, , , , , , , , , , , ,4,4,4,2,2,2,2, , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,8,2,2,4,3,2,3,3,1,3,3,2,63,98,2,1, , , , ,3,2,3,4,8,4,1,1, , , , , , ,S,3,1,2,1, , , , ,0,3,1,1,1,1,0,4,0,9,9, ,1,1,5,9,1,1,0,1.94117647058824,.677839698021624
100102,1,33016,1,1,2,1,1,1,1,2,1,1,1,1,2,2,2,1,1,1,2,3,2,1,1,1,2,2,1,1,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,2,1,1,3,2,2,1,2,2,2,1,1,2,3,8,8,2,3,2,2,3,3,2,56,3,2,1, , , , ,1,2,1,2, ,3,7,2,2, , , , , ,S,1,36,4,1, , , , ,1,1,1,1,1,1,1,3,0,2,4,2,2,2,5,1,2,1,1,3.64705882352941,1.27351700840426
100106,1,33016,1,1,2,1,2,1,2,5,1,1,2,2,2,2,2,1,4,4,4, ,4,4,4,2,2,2,1,2, ,2,2,1,2,2,2,2,2, ,2,1,1,2,2,1, ,1,9,3,2,1,2, , , , ,1,2,2,4,4,2,2,3,1,3,1,2,50,5,2,1, , , , ,1,2,1,3,9,2,6,5,5, , , , , ,R,2,29,1,1, , , , ,1,1,1,1,1,1,1,2,0,9,3,1,2,2,4,2,3,1,1,3.35294117647059,1.17081402385553
100112,1,33016,1,1,1,2,2,1,1,1,1,1,1,1,2,2,1,1,4,1,4,4,4,4,4,2,2,1,2,2,2,1,2,2,1,2,2,2,2, ,1,2,2,2,1,1,2,1,4,5,1,2,1,2,2,2,1,1,1,1,2,2,2,1,1,1,3,1,2,60,7,2,1, , , , ,1,2,1,2, ,3,8,2,2, , , , , ,U,4,6,1,1, , , , ,1,1,1,1,1,1,1,3,0,2,4,1,2,2,5,3,2,1,1,1,.349190147465685
100113,1,33016,1,1,2,1,1,1,2,3,1,2,1,1,1,2,1,1,1,1,1,5,2,1,1,2,2,1,2,2,2,2,2,2,2,2,1,2,2, ,1,2,2,2,8,2,2, , , , , ,2, , , , ,2,2,2,2,2,2,3,3,1,3,3,1,81,8,2,1, , , , ,1,2,9,3,2,3,7,2,2, , , , , ,U,4,2,2,1, , , , ,1,2,1,1,1,1,1,6,0,2,3,1,2,2,6,3,2,1,1,1.11764705882353,.390271341285178
100114,1,33016,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,2,2,2, ,3,1,1,2,2,2,2,2, ,2,2,1,1,2,2,2,2,1,2,1,2,1,1,1, ,1,3,3,2,2,1,2,1, ,2,1,3,3,2,2,2,1,3,1,8,3,1,52,3,2,1, , , , ,1,1,1,1, ,2,8,4,2, , , , , ,R,4,6,1,1, , , , ,1,1,1,1,1,1,1,3,2,1,1,2,2,2,4,1,2,1,1,2.70588235294118,.944867457848325
100129,1,40916,1,1,2,1,2,1,1,2,1,1,1,2,2,2,2,1,2,2,2,4,5,5,5,1,2,1,2,2,2,2,2,1,2,2,2,2,2, ,2,2,2,2,2,2,2,2, ,1,1,2,1,2,2,2,2,8,1,2,4,2,2,3,3,2,3,3,2,76,4,2,1, , , , ,5,2,3,1, ,2,99,1, , , , , , ,R,4,6,1,1, , , , ,1,1,1,1,1,1,1,5,0,1,1,1,2,2,6,2,1,1,1,1.05882352941176,.369730744375431
100130,1,33016,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,4,4,3,4,4,2,3,2,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,2,1,2,1,1,2,1,4,3,2,1,2, , , , ,2,1,2,3,3,2,1,1,1,3,3,1,60,6,2,1, , , , ,1,2,1,3,1,2,6,4,2, , , , , ,R,4,6,1,1, , , , ,1,1,1,1,1,1,1,3,2,1,3,2,2,2,5,3,2,1,1,1,.349190147465685
100131,1,33016,1,1,1,2,9,1,1,2,1,2,1,2,2,2,2,1,1,1,1,1,9,5,1,3,2,2,2,2,2,2,2,1,2,2,2,2,2, ,2,2,2,2,2,2,2, , , , , ,2, , , , ,8,2,1,4,4,4,3,3,1,3,3,2,28,4,9,1, , , , ,9,9,9,9,9,1,98,3,99, , , , , ,S,2,26,1,1, , , , ,1,2,1,1,1,1,1,1,99,9,9,1,2,2,2,2,2,1,1,3.97058823529412,1.38649029140787
100156,1,33016,1,1,1,2,2,1,1,3,1,1,1,2,2,2,2,1,2,2,2,2,3,5,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2, ,2,2,2,2,2,2,2,1,1,3,2,2,2, , , , ,2,2,2,3,3,2,2,3,1,3,2,1,52,4,2,1, , , , ,3,2,1,3,1,3,8,1, , , , , , ,S,4,6,1,1, , , , ,1,1,1,1,1,1,1,3,0,1,3,1,2,2,4,2,1,1,1,1.85294117647059,.647028802657005
100158,1,33016,1,1,2,2,1,1,1,2,1,1,2,1,2,1,2,1,2,2,2, ,4,2,4,2,2,1,1,2, ,1,2,1,2,2,1,1,2,8,2,1,2,2,1,1, ,2, ,5,1,1,2, , , , ,1,2,1,3,2,2,1,1,1,2,1,1,63,3,2,1, , , , ,3,2,1,3,9,9,9,2,2, , , , , ,U,4,6,1,1, , , , ,1,1,1,1,1,1,1,4,0,9,3,3,2,2,5,1,2,1,1,2.5,.872975368664213
100159,1,33016,1,1,2,1,2,2,1,1,1,1,1,2,8,8,2,1,1,1,2,2,8,5,3,8,2,2,2,2,2,2,2,1,2,2,1,1,2,1,1,2,2,2,1,2,2,1,1,3,2,2,2, , , , ,8,3,3,8,8,8,3,3,3,3,3,1,19,3,2,3, , , , ,6,2,3,3,1,3,5,5,3, , , , , ,U,4,6,5,3, , , , ,1,1,3,4,5,4,1,1,2,1,3,3,2,2,1,1,3,1,1,5.91176470588235,2.06432998942949
100165,1,40216,1,1,2,1,2,2,2, ,2, , , , , , , , , , , ,2,1,2,2,2,2,2, , ,8,2, , , , , , , , , , , , , , , , , , , , , , , , ,1,2,2,2,1,2,3,2,3,3,3,2,75,8,2,1, , , , ,6,2,3,2, ,3,2,1, , , , , , ,U,1,36,5,1, , , , ,0,3,1,1,1,1,0,5,0,2,4, ,1,1,6,3,1,1,0,3.05882352941176,1.0681110393068
100167,1,50216,1,1,2,2,1,1,1,4,1,2,2,2,2,2,2,1,2,2,2, ,2,2,2,3,2,2,1,2, ,2,2,2,1,2,2,2,2, ,2,2,2,2,2,1, , , , , , ,2, , , , ,2,3,2,2,2,2,2,2,2,3,3,1,73,5,2,1, , , , ,6,2,3,3,1,2,4,1, , , , , , ,S,1,36,2,1, , , , ,1,2,1,1,1,1,1,5,0,1,3,1,2,2,6,2,1,1,1,2.08823529411765,.72919119029599
100172,1,40216,1,1,1,1,1,1,1,2,1,1,1,2,2,2,2,2,1,1,1,1,2,5,2,3,2,2,2,2,2,2,2,2,1,2,2,2,2, ,2,2,2,2,1,1,2,1,4,3,3,2,2, , , , ,1,3,3,2,1,2,3,3,2,3,3,1,22,4,2,3, , , , ,6,2,3,3,1,2,5,2,2, , , , , ,R,3,13,1,3, , , , ,1,1,3,4,5,4,1,1,0,1,3,1,2,2,1,2,2,1,1,3.82352941176471,1.3351387991335
100178,1,40216,1,1,1,2,2,2,2, ,1,8, , , , , , ,2,2, , ,3,4,3,3,2,2,2, , ,2,2, , , , , , , , , , , , , , , , , , , , , , , , ,1,1,3,3,3,4,3,3,3,3,3,2,80,3,2,1, , , , ,2,2,3,3,1,3,4,2,2, , , , , ,S,1,34,5,1, , , , ,0,2,1,1,1,1,1,6,0,1,3, ,2,2,6,1,2,1,1,4,1.39676058986274
100181,1,40916,1,1,1,1,2,2,2, ,2, , , , , , , , , , , ,4,4,4,3,2,2,1, , ,1,2, , , , , , , , , , , , , , , , , , , , , , , , ,2,1,2,3,4,4,3,3,3,3,3,1,92,8,2,8, , , , ,6,2,3,4,8,8,99,1, , , , , , ,U,2,39,3,8, , , , ,0,3,9,9,9,9,0,6,0,9,9, ,1,1,6,3,1,1,0,2.58823529411765,.903786264028833
100183,1,40216,1,1,2,1,2,1,2,2,1,2,2,8,2,2,2,1,1,8,2, ,2,5,3,2,2,1,1,8, ,1,2,1,2,2,2,2,2, ,2,1,2,2,2,2, , , , , , ,2, , , , ,1,2,2,8,8,8,3,3,1,3,2,1,64,8,2,1, , , , ,1,2,1,3,2,3,99,2,2, , , , , ,S,1,42,4,1, , , , ,1,2,1,1,1,1,1,4,0,2,3,1,2,2,5,3,2,1,1,1.41176470588235,.492974325833909
100196,1,40216,1,1,2,1,1,2,2, ,1,2, , , , , , ,2,2, , ,2,1,2,3,2,2,2, , ,8,2, , , , , , , , , , , , , , , , , , , , , , , , ,8,8,8,8,8,8,3,3,2,3,2,2,84,3,2,1, , , , ,5,2,3,3,1,2,99,1, , , , , , ,S,2,55,3,1, , , , ,0,2,1,1,1,1,1,6,0,1,3, ,2,2,6,1,1,1,1,2.14705882352941,.749731787205736
100198,1,40216,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,3,2,3,3,3,1,1,1,2,2,2,2,1,2,2,2,2,2, ,2,2,2,2,1,1,2,1,1,1,1,2,1,2,1,1,1,1,2,2,2,2,2,3,1,1,2,2,1,34,8,2,1, , , , ,1,1,1,2, ,4,9,4,2, , , , , ,U,2,55,3,1, , , , ,1,1,1,1,1,1,1,1,2,2,5,1,2,2,2,3,2,1,1,1.70588235294118,.59567731038264
100200,1,40216,1,1,2,1,2,1,1,3,1,2,1,2,2,2,2,1,3,3,3,3,4,5,3,3,2,2,2,2,2,2,2,1,2,2,2,2,2, ,2,2,2,2,2,1,2, , , , , ,2, , , , ,1,1,1,4,4,4,3,1,1,3,3,2,59,3,2,1, , , , ,1,2,3,1, ,2,3,2,2, , , , , ,S,3,48,5,1, , , , ,1,2,1,1,1,1,1,3,0,1,1,1,2,2,5,1,2,1,1,3.35294117647059,1.17081402385553
100206,1,40216,1,1,2,2,1,1,1,2,1,1,2,1,1,1,1,1,3,4,3, ,3,3,4,2,2,1,1,2, ,1,2,2,2,2,1,2,2, ,2,1,1,2,1,1, ,1,2,3,2,1,1,2,2, ,1,2,2,2,4,3,3,3,1,1,1,1,1,67,8,2,1, , , , ,1,2,1,3,2,4,9,2,2, , , , , ,U,2,17,5,1, , , , ,1,1,1,1,1,1,1,4,0,2,3,1,2,2,6,3,2,1,1,1.61764705882353,.56486641501802
100208,1,50216,1,1,2,2,2,1,1,1,1,1,1,1,2,1,2,1,4,2,4,4,4,3,4,2,2,1,1,2,1,1,2,1,2,2,2,2,2, ,2,2,1,2,2,1,1,1,4,2,2,2,2, , , , ,2,2,2,4,4,4,3,3,1,3,1,2,32,8,2,1, , , , ,1,1,3,1, ,3,7,5,2, , , , , ,S,1,25,3,1, , , , ,1,1,1,1,1,1,1,1,3,1,2,1,2,2,2,3,2,1,1,2.85294117647059,.99621895012269
100210,1,40216,1,1,1,1,2,1,1,5,1,8,1,2,2,2,2,1,4,4,4,5,4,4,4,9,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,2,2,2,2, , , , , ,2, , , , ,2,1,1,2,2,4,1,1,2,2,3,1,73,4,2,1, , , , ,3,2,3,3,1,2,2,1, , , , , , ,S,1,23,1,1, , , , ,1,2,1,1,1,1,1,5,0,1,3,2,2,2,6,2,1,1,1,1.94117647058824,.677839698021624
